municipio,year,week,humidity
angra dos reis,2014,50,64.5030088571
angra dos reis,2014,51,59.7800231429
angra dos reis,2014,52,64.8982264286
angra dos reis,2015,1,59.4815482857
angra dos reis,2015,2,54.4589285714
angra dos reis,2015,3,57.2653422857
angra dos reis,2015,4,63.6908261429
angra dos reis,2015,5,76.0412677143
angra dos reis,2015,6,67.6772764286
angra dos reis,2015,7,67.544327
angra dos reis,2015,8,61.907027
angra dos reis,2015,9,64.4599201429
angra dos reis,2015,10,76.0267854286
angra dos reis,2015,11,76.3226315714
angra dos reis,2015,12,71.2161657143
angra dos reis,2015,13,69.5988668571
angra dos reis,2015,14,69.1771235714
angra dos reis,2015,15,63.7880938571
angra dos reis,2015,16,75.3459501429
angra dos reis,2015,17,68.2632927143
angra dos reis,2015,18,70.2639475714
angra dos reis,2015,19,72.0691864286
angra dos reis,2015,20,71.3404757143
angra dos reis,2015,21,70.6726194286
angra dos reis,2015,22,77.98512
angra dos reis,2015,23,65.8559942857
angra dos reis,2015,24,73.9922614286
angra dos reis,2015,25,73.4566428571
angra dos reis,2015,26,68.7156642857
angra dos reis,2015,27,73.1809525714
angra dos reis,2015,28,60.6628421429
angra dos reis,2015,29,68.9939312857
angra dos reis,2015,30,63.5539625
angra dos reis,2015,31,53.3904764286
angra dos reis,2015,32,56.119048
angra dos reis,2015,33,53.8285721429
angra dos reis,2015,34,68.0917284286
angra dos reis,2015,35,61.5217054286
angra dos reis,2015,36,74.6730745714
angra dos reis,2015,37,60.1355648571
angra dos reis,2015,38,50.9152778571
angra dos reis,2015,39,70.5055677143
angra dos reis,2015,40,58.5999997143
angra dos reis,2015,41,52.5462458571
angra dos reis,2015,42,65.0255008571
angra dos reis,2015,43,65.6081695714
angra dos reis,2015,44,77.10059875
angra dos reis,2015,45,66.7523138571
angra dos reis,2015,46,71.9435093333
angra dos reis,2015,47,68.310513
angra dos reis,2015,48,77.9246291429
angra dos reis,2015,49,79.5294342857
angra dos reis,2015,50,84.175
angra dos reis,2015,51,84.7857142857
angra dos reis,2015,52,75.2321428571
angra dos reis,2016,1,81.2476191429
angra dos reis,2016,2,89.63492
angra dos reis,2016,3,82.32967
angra dos reis,2016,4,82.4717947143
angra dos reis,2016,5,59.492261
angra dos reis,2016,6,69.7018775714
angra dos reis,2016,7,85.6380952857
angra dos reis,2016,8,87.0306124286
angra dos reis,2016,9,85.3367342857
angra dos reis,2016,10,84.7032971429
angra dos reis,2016,11,86.3406585714
angra dos reis,2016,12,88.1517857143
angra dos reis,2016,13,88.8571428571
angra dos reis,2016,14,78.9477042857
angra dos reis,2016,15,70.718925
angra dos reis,2016,16,0.0
angra dos reis,2016,17,84.52381
angra dos reis,2016,18,91.0
angra dos reis,2016,19,83.9636368
angra dos reis,2016,20,86.72619
angra dos reis,2016,21,87.0
angra dos reis,2016,22,88.4183671429
angra dos reis,2016,23,90.8928566667
angra dos reis,2016,24,88.0408161429
angra dos reis,2016,25,83.4285714286
angra dos reis,2016,26,87.8333337143
angra dos reis,2016,27,83.2551014286
angra dos reis,2016,28,81.8367347143
angra dos reis,2016,29,82.2912085714
angra dos reis,2016,30,83.7948716667
angra dos reis,2016,31,73.1741495714
angra dos reis,2016,32,77.1428571429
angra dos reis,2016,33,76.7142857143
angra dos reis,2016,34,74.2204081429
angra dos reis,2016,35,73.5153057143
angra dos reis,2016,36,78.6190478333
angra dos reis,2016,37,69.6530614286
angra dos reis,2016,38,74.1547616667
angra dos reis,2016,39,78.6
angra dos reis,2016,40,69.772728
angra dos reis,2016,41,83.6703295714
angra dos reis,2016,42,81.6043957143
angra dos reis,2016,43,78.122449
angra dos reis,2016,44,80.6517857143
angra dos reis,2016,45,84.3098034286
angra dos reis,2016,46,87.9230766667
angra dos reis,2016,47,82.22449
angra dos reis,2016,48,77.5580588333
angra dos reis,2016,49,81.5042014286
angra dos reis,2016,50,78.416668
angra dos reis,2016,51,71.3206343333
angra dos reis,2016,52,77.6714283333
angra dos reis,2017,1,82.323391
angra dos reis,2017,2,91.7666666667
angra dos reis,2017,3,84.546754
angra dos reis,2017,4,82.3619048
angra dos reis,2017,5,80.9166666667
angra dos reis,2017,6,79.757576
angra dos reis,2017,7,72.840909
angra dos reis,2017,8,78.3090912
angra dos reis,2017,9,89.4666666667
angra dos reis,2017,10,82.753846
angra dos reis,2017,11,84.446154
angra dos reis,2017,12,79.03846
angra dos reis,2017,13,80.7333333333
angra dos reis,2017,14,85.7142857143
angra dos reis,2017,15,79.963078
angra dos reis,2017,16,81.71153825
angra dos reis,2017,17,90.6666666667
angra dos reis,2017,18,90.1818175
