municipio,year,week,temperature
sao joao da barra,2010,4,29.8428571429
sao joao de meriti,2010,4,27.82251
sao jose de uba,2010,4,29.8428571429
sao jose do vale do rio preto,2010,4,27.82251
sao pedro da aldeia,2010,4,29.1515151429
sao sebastiao do alto,2010,4,29.8428571429
sapucaia,2010,4,27.82251
saquarema,2010,4,29.1515151429
seropedica,2010,4,28.8232321429
silva jardim,2010,4,29.1515151429
sumidouro,2010,4,28.2778562857
tangua,2010,4,27.82251
teresopolis,2010,4,27.82251
trajano de moraes,2010,4,28.2778562857
tres rios,2010,4,27.82251
valenca,2010,4,24.868195
varre-sai,2010,4,29.8428571429
vassouras,2010,4,27.82251
volta redonda,2010,4,27.1981108571
angra dos reis,2010,5,28.7528781429
aperibe,2010,5,30.5142857143
araruama,2010,5,30.120879
areal,2010,5,29.93503
armacao dos buzios,2010,5,29.1584557143
arraial do cabo,2010,5,30.120879
barra do pirai,2010,5,29.9528514286
barra mansa,2010,5,31.6912528571
belford roxo,2010,5,29.93503
bom jardim,2010,5,29.1584557143
bom jesus do itabapoana,2010,5,30.5142857143
cabo frio,2010,5,30.120879
cachoeiras de macacu,2010,5,29.93503
cambuci,2010,5,30.5142857143
carapebus,2010,5,30.5142857143
comendador levy gasparian,2010,5,29.93503
campos dos goytacazes,2010,5,30.5142857143
cantagalo,2010,5,29.1584557143
cardoso moreira,2010,5,30.5142857143
carmo,2010,5,29.1584557143
casimiro de abreu,2010,5,29.1584557143
conceicao de macabu,2010,5,30.5142857143
cordeiro,2010,5,29.1584557143
duas barras,2010,5,29.1584557143
duque de caxias,2010,5,29.93503
engenheiro paulo de frontin,2010,5,31.6912528571
guapimirim,2010,5,29.93503
iguaba grande,2010,5,30.120879
itaborai,2010,5,29.93503
itaguai,2010,5,31.6912528571
italva,2010,5,30.5142857143
itaocara,2010,5,30.5142857143
itaperuna,2010,5,30.5142857143
itatiaia,2010,5,28.7528781429
japeri,2010,5,29.93503
laje do muriae,2010,5,30.5142857143
macae,2010,5,29.1584557143
macuco,2010,5,29.1584557143
mage,2010,5,29.93503
mangaratiba,2010,5,29.9528514286
marica,2010,5,29.93503
mendes,2010,5,31.6912528571
mesquita,2010,5,25.3979591429
miguel pereira,2010,5,29.93503
miracema,2010,5,30.5142857143
natividade,2010,5,30.5142857143
nilopolis,2010,5,29.93503
niteroi,2010,5,29.93503
nova friburgo,2010,5,29.1584557143
nova iguacu,2010,5,29.93503
paracambi,2010,5,31.6912528571
paraiba do sul,2010,5,29.93503
paraty,2010,5,28.7528781429
paty do alferes,2010,5,29.93503
petropolis,2010,5,29.93503
pinheiral,2010,5,31.6912528571
pirai,2010,5,31.6912528571
porciuncula,2010,5,30.5142857143
porto real,2010,5,28.7528781429
quatis,2010,5,28.7528781429
queimados,2010,5,31.6912528571
quissama,2010,5,30.5142857143
resende,2010,5,28.7528781429
rio bonito,2010,5,29.5873017143
rio claro,2010,5,31.6912528571
rio das flores,2010,5,29.93503
rio das ostras,2010,5,29.1584557143
rio de janeiro,2010,5,29.93503
santa maria madalena,2010,5,30.5142857143
santo antonio de padua,2010,5,30.5142857143
sao francisco de itabapoana,2010,5,30.5142857143
sao fidelis,2010,5,30.5142857143
sao goncalo,2010,5,29.93503
sao joao da barra,2010,5,30.5142857143
sao joao de meriti,2010,5,29.93503
sao jose de uba,2010,5,30.5142857143
sao jose do vale do rio preto,2010,5,29.93503
sao pedro da aldeia,2010,5,30.120879
sao sebastiao do alto,2010,5,30.5142857143
sapucaia,2010,5,29.93503
saquarema,2010,5,30.120879
seropedica,2010,5,31.6912528571
silva jardim,2010,5,30.120879
sumidouro,2010,5,29.1584557143
tangua,2010,5,29.93503
teresopolis,2010,5,29.93503
trajano de moraes,2010,5,29.1584557143
tres rios,2010,5,29.93503
valenca,2010,5,27.1528475714
varre-sai,2010,5,30.5142857143
vassouras,2010,5,29.93503
volta redonda,2010,5,29.9528514286
angra dos reis,2010,6,28.249667
aperibe,2010,6,30.374812
araruama,2010,6,30.2738094286
areal,2010,6,30.0842164286
armacao dos buzios,2010,6,29.0754855714
arraial do cabo,2010,6,30.2738094286
barra do pirai,2010,6,28.9872714286
barra mansa,2010,6,31.365603
belford roxo,2010,6,30.0842164286
bom jardim,2010,6,29.0754855714
bom jesus do itabapoana,2010,6,30.374812
cabo frio,2010,6,30.2738094286
