municipio,year,week,cases
paraiba do sul,2010,4,0
paraty,2010,4,9
paty do alferes,2010,4,0
petropolis,2010,4,2
pinheiral,2010,4,1
pirai,2010,4,3
porciuncula,2010,4,62
porto real,2010,4,0
quatis,2010,4,1
queimados,2010,4,0
quissama,2010,4,5
resende,2010,4,2
rio bonito,2010,4,18
rio claro,2010,4,0
rio das flores,2010,4,0
rio das ostras,2010,4,4
rio de janeiro,2010,4,47
santa maria madalena,2010,4,0
santo antonio de padua,2010,4,0
sao francisco de itabapoana,2010,4,1
sao fidelis,2010,4,0
sao goncalo,2010,4,11
sao joao da barra,2010,4,0
sao joao de meriti,2010,4,1
sao jose de uba,2010,4,1
sao jose do vale do rio preto,2010,4,0
sao pedro da aldeia,2010,4,2
sao sebastiao do alto,2010,4,0
sapucaia,2010,4,0
saquarema,2010,4,0
seropedica,2010,4,0
silva jardim,2010,4,1
sumidouro,2010,4,0
tangua,2010,4,56
teresopolis,2010,4,1
trajano de moraes,2010,4,0
tres rios,2010,4,0
valenca,2010,4,0
varre-sai,2010,4,0
vassouras,2010,4,0
volta redonda,2010,4,4
angra dos reis,2010,5,7
aperibe,2010,5,0
araruama,2010,5,4
areal,2010,5,0
armacao dos buzios,2010,5,1
arraial do cabo,2010,5,1
barra do pirai,2010,5,1
barra mansa,2010,5,3
belford roxo,2010,5,9
bom jardim,2010,5,0
bom jesus do itabapoana,2010,5,0
cabo frio,2010,5,2
cachoeiras de macacu,2010,5,0
cambuci,2010,5,0
carapebus,2010,5,0
comendador levy gasparian,2010,5,0
campos dos goytacazes,2010,5,77
cantagalo,2010,5,2
cardoso moreira,2010,5,0
carmo,2010,5,0
casimiro de abreu,2010,5,126
conceicao de macabu,2010,5,0
cordeiro,2010,5,1
duas barras,2010,5,0
duque de caxias,2010,5,6
engenheiro paulo de frontin,2010,5,0
guapimirim,2010,5,0
iguaba grande,2010,5,0
itaborai,2010,5,44
itaguai,2010,5,12
italva,2010,5,0
itaocara,2010,5,0
itaperuna,2010,5,18
itatiaia,2010,5,0
japeri,2010,5,0
laje do muriae,2010,5,0
macae,2010,5,48
macuco,2010,5,0
mage,2010,5,8
