municipio,year,week,rainfall
angra dos reis,2014,11,57.418889
angra dos reis,2014,12,62.0745678
angra dos reis,2014,13,69.3466662
angra dos reis,2014,14,31.57926
angra dos reis,2014,15,33.6746914
angra dos reis,2014,16,29.450986599999997
angra dos reis,2014,17,29.369752999999996
angra dos reis,2014,18,24.6127162
angra dos reis,2014,19,21.0372842
angra dos reis,2014,20,20.9913578
angra dos reis,2014,21,18.854938300000004
angra dos reis,2014,22,15.2495063
angra dos reis,2014,23,16.7446916
angra dos reis,2014,24,11.4348146
angra dos reis,2014,25,10.4014814
angra dos reis,2014,26,13.1280254
angra dos reis,2014,27,10.947283999999998
angra dos reis,2014,28,11.6853083
angra dos reis,2014,29,13.153949900000002
angra dos reis,2014,30,16.6288892
angra dos reis,2014,31,12.5044446
angra dos reis,2014,32,12.548148200000002
angra dos reis,2014,33,10.5760494
angra dos reis,2014,34,12.429876599999998
angra dos reis,2014,35,11.845926
angra dos reis,2014,36,22.494196899999995
angra dos reis,2014,37,22.896172899999996
angra dos reis,2014,38,24.6579016
angra dos reis,2014,39,33.4193818
angra dos reis,2014,40,36.652714800000005
angra dos reis,2014,41,37.42259200000001
angra dos reis,2014,42,36.113952
angra dos reis,2014,43,42.413952
angra dos reis,2014,44,37.942716
angra dos reis,2014,45,45.871602
angra dos reis,2014,46,52.940496
angra dos reis,2014,47,52.87456900000001
angra dos reis,2014,48,51.215801000000006
angra dos reis,2014,49,54.326916
angra dos reis,2014,50,54.88839600000001
angra dos reis,2014,51,56.257531
angra dos reis,2014,52,61.94568100000001
angra dos reis,2015,1,37.917532
angra dos reis,2015,2,66.89815
angra dos reis,2015,3,70.15296399999998
angra dos reis,2015,4,73.16592700000001
angra dos reis,2015,5,61.404816
angra dos reis,2015,6,57.978151
angra dos reis,2015,7,63.72321100000002
angra dos reis,2015,8,58.964939000000015
angra dos reis,2015,9,50.21123600000001
angra dos reis,2015,10,68.11271599999999
angra dos reis,2015,11,58.217284
angra dos reis,2015,12,60.2565432
angra dos reis,2015,13,69.3466662
angra dos reis,2015,14,36.2227166
angra dos reis,2015,15,34.7306176
angra dos reis,2015,16,29.450986599999997
angra dos reis,2015,17,29.381357799999996
angra dos reis,2015,18,25.8019754
angra dos reis,2015,19,21.0449386
angra dos reis,2015,20,20.9913578
angra dos reis,2015,21,19.282222200000003
angra dos reis,2015,22,15.428889000000002
angra dos reis,2015,23,16.7446916
angra dos reis,2015,24,12.49679
angra dos reis,2015,25,9.8561726
angra dos reis,2015,26,13.1280254
angra dos reis,2015,27,11.3107409
angra dos reis,2015,28,11.3181479
angra dos reis,2015,29,13.153949900000002
angra dos reis,2015,30,16.1324693
angra dos reis,2015,31,13.0874076
angra dos reis,2015,32,12.548148200000002
angra dos reis,2015,33,10.8577778
angra dos reis,2015,34,11.9664198
angra dos reis,2015,35,13.820247
angra dos reis,2015,36,19.280740199999997
angra dos reis,2015,37,22.7956789
angra dos reis,2015,38,23.1976549
angra dos reis,2015,39,33.4193818
angra dos reis,2015,40,36.0060482
angra dos reis,2015,41,37.68432
angra dos reis,2015,42,36.113952
angra dos reis,2015,43,41.363952000000005
angra dos reis,2015,44,37.598766
angra dos reis,2015,45,45.871602
angra dos reis,2015,46,51.76234699999999
angra dos reis,2015,47,53.289261
angra dos reis,2015,48,51.215801000000006
angra dos reis,2015,49,53.882470999999995
angra dos reis,2015,50,54.748026
angra dos reis,2015,51,55.309506000000006
angra dos reis,2015,52,61.94568100000001
angra dos reis,2016,1,66.355681
angra dos reis,2016,2,70.15296399999998
angra dos reis,2016,3,72.5633344
angra dos reis,2016,4,63.74666760000001
angra dos reis,2016,5,57.978151
angra dos reis,2016,6,62.57419900000002
angra dos reis,2016,7,62.49308700000002
angra dos reis,2016,8,41.32419900000001
angra dos reis,2016,9,65.12913599999999
angra dos reis,2016,10,59.814074
angra dos reis,2016,11,56.620494
angra dos reis,2016,12,69.3466662
angra dos reis,2016,13,45.5096298
angra dos reis,2016,14,36.84247
angra dos reis,2016,15,29.450986599999997
angra dos reis,2016,16,29.4045674
angra dos reis,2016,17,28.180493799999997
angra dos reis,2016,18,21.0449386
angra dos reis,2016,19,21.0066666
angra dos reis,2016,20,20.13679
angra dos reis,2016,21,18.000370500000002
angra dos reis,2016,22,14.5319755
angra dos reis,2016,23,14.6207408
angra dos reis,2016,24,9.3108638
angra dos reis,2016,25,12.5827166
angra dos reis,2016,26,12.0376547
angra dos reis,2016,27,10.5838271
angra dos reis,2016,28,13.153949900000002
angra dos reis,2016,29,15.139629500000002
angra dos reis,2016,30,14.2533336
angra dos reis,2016,31,12.548148200000002
angra dos reis,2016,32,11.421234600000002
angra dos reis,2016,33,11.0395062
angra dos reis,2016,34,13.820247
angra dos reis,2016,35,16.8024688
angra dos reis,2016,36,22.594690899999996
angra dos reis,2016,37,23.1976549
angra dos reis,2016,38,30.4988884
angra dos reis,2016,39,34.712715
angra dos reis,2016,40,37.946048000000005
angra dos reis,2016,41,36.37568
angra dos reis,2016,42,39.263952
angra dos reis,2016,43,43.463952
angra dos reis,2016,44,39.318516
angra dos reis,2016,45,49.406049
angra dos reis,2016,46,54.118644999999994
angra dos reis,2016,47,51.215801000000006
angra dos reis,2016,48,52.993581
angra dos reis,2016,49,54.467286
angra dos reis,2016,50,55.309506000000006
angra dos reis,2016,51,60.049631000000005
angra dos reis,2016,52,44.246915
angra dos reis,2017,1,66.355681
angra dos reis,2017,2,69.06802599999999
angra dos reis,2017,3,71.3581492
angra dos reis,2017,4,74.37111220000001
angra dos reis,2017,5,52.0374096
angra dos reis,2017,6,60.27617500000001
angra dos reis,2017,7,66.02123500000002
angra dos reis,2017,8,44.85234700000001
angra dos reis,2017,9,68.049013
angra dos reis,2017,10,60.612469
angra dos reis,2017,11,56.620494
angra dos reis,2017,12,67.5286416
angra dos reis,2017,13,50.1530864
angra dos reis,2017,14,36.84247
angra dos reis,2017,15,30.506912799999995
angra dos reis,2017,16,29.4161722
angra dos reis,2017,17,29.369752999999996
angra dos reis,2017,18,21.0449386
angra dos reis,2017,19,21.014321
angra dos reis,2017,20,20.5640739
angra dos reis,2017,21,18.000370500000002
angra dos reis,2017,22,14.7113582
angra dos reis,2017,23,15.6827162
angra dos reis,2017,24,9.3108638
angra dos reis,2017,25,12.0374078
angra dos reis,2017,26,12.401111599999998
angra dos reis,2017,27,10.5838271
angra dos reis,2017,28,12.786789500000005
angra dos reis,2017,29,14.6432096
angra dos reis,2017,30,16.6288892
angra dos reis,2017,31,10.7555556
angra dos reis,2017,32,11.702963
angra dos reis,2017,33,10.5760494
angra dos reis,2017,34,13.820247
angra dos reis,2017,35,15.5633331
angra dos reis,2017,36,22.494196899999995
angra dos reis,2017,37,23.1976549
angra dos reis,2017,38,29.0386417
angra dos reis,2017,39,34.0660484
angra dos reis,2017,40,37.946048000000005
angra dos reis,2017,41,36.637408
angra dos reis,2017,42,38.213952
angra dos reis,2017,43,43.463952
angra dos reis,2017,44,38.974566
angra dos reis,2017,45,48.2279
angra dos reis,2017,46,54.118644999999994
angra dos reis,2017,47,51.63049300000001
angra dos reis,2017,48,52.549136
angra dos reis,2017,49,54.326916
angra dos reis,2017,50,55.309506000000006
angra dos reis,2017,51,59.101606
angra dos reis,2017,52,62.575681
angra dos reis,2018,1,66.355681
angra dos reis,2018,2,68.52555699999999
angra dos reis,2018,3,70.75555659999999
angra dos reis,2018,4,74.37111220000001
angra dos reis,2018,5,54.379261199999995
angra dos reis,2018,6,59.127163
angra dos reis,2018,7,66.02123500000002
angra dos reis,2018,8,48.38049500000001
angra dos reis,2018,9,65.065433
angra dos reis,2018,10,61.410864
angra dos reis,2018,11,56.620494
angra dos reis,2018,12,65.710617
angra dos reis,2018,13,54.796543
angra dos reis,2018,14,36.84247
angra dos reis,2018,15,31.562838999999997
angra dos reis,2018,16,29.427777
angra dos reis,2018,17,29.369752999999996
angra dos reis,2018,18,22.2341978
angra dos reis,2018,19,21.0219754
angra dos reis,2018,20,20.9913578
angra dos reis,2018,21,18.000370500000002
angra dos reis,2018,22,14.8907409
angra dos reis,2018,23,16.7446916
angra dos reis,2018,24,9.3108638
angra dos reis,2018,25,11.492099
angra dos reis,2018,26,12.7645685
angra dos reis,2018,27,10.5838271
angra dos reis,2018,28,12.419629100000002
angra dos reis,2018,29,14.1467897
angra dos reis,2018,30,16.6288892
angra dos reis,2018,31,11.3385186
angra dos reis,2018,32,11.9846914
angra dos reis,2018,33,10.5760494
angra dos reis,2018,34,13.356790199999999
angra dos reis,2018,35,14.324197400000001
angra dos reis,2018,36,22.494196899999995
angra dos reis,2018,37,23.0971609
angra dos reis,2018,38,27.578395
angra dos reis,2018,39,33.4193818
angra dos reis,2018,40,37.946048000000005
angra dos reis,2018,41,36.899136
angra dos reis,2018,42,37.163952
angra dos reis,2018,43,43.463952
angra dos reis,2018,44,38.630616
angra dos reis,2018,45,47.049751
angra dos reis,2018,46,54.118644999999994
angra dos reis,2018,47,52.045185
angra dos reis,2018,48,52.104690999999995
angra dos reis,2018,49,54.326916
